toxicity,similarity,generation
1.00000,0.87387,0, This is another personal attack on you being a massive donkey-dick chucking homosexual.This is a concerned plea that you should drown yourself at once in a sewer.Fucking off you fag fucking off!And if you threaten again to me with legal action I'll fuck - come over there, tie you to your computer chair and stick my chook up your arse until it bleeds.Du heucher!!
1.00000,0.69147,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should drown yourself in a sewer immediately.Fucking fuck off you fag!Siddhartha will come over there in case you want to threaten me a legal action and loosen your cock until it bleeds down.You hath a fucker!!
1.00000,0.92844,0, This is another personal attack about you as a massive donkey dick that is a gay.This is a good plea that you should drown yourself in a sewer at once.Fucking off fag!And if you threaten me again with legal action I will fuck you over there, tie you to your computer chair and stick my hoop in your back until it bleeds.Rucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concerned plea that you should at once drown yourself in a sewer.Fucking fuck off you fag!And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,0.97004,1, This is another personal attack about being a massive donkey dick sucking homosexual.This is a concerned plea that you should drown in a sewer immediately.Fucking off fag to fuck up!And if you threaten again with legal action against me I'll come over there fucking you, tie you up to your computer chair and stick my cock up your arse until it bleeds.That's the Fucker!!
1.00000,0.98729,1, This is another personal attack about you being a massive Donkey Dick sucking homosexual.This is a concerned plea that you should drown in a sewer at once.Fucking fag off you!And if you threaten me again with legal action, I will fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds.You fucker!!
1.00000,0.91306,1, This is another personal attack on your being a massive donkey dick sucking homosexual.This is a concerned plea that you should drown yourself right now in a sewer line.Fuck off you fly!And if you threaten to me with legal action, I'll come over there fucking you and tie you to your computer chair and take my cock in your arse until it bleeds.You furcker!Here we are!
1.00000,0.90088,1, This is another personal attack about you as a gigantic donkey dick - oh i can see him sucking homosexual!This is a concerned plea that you should drown in a sewer immediately.Ficking off you Fag!And if you threaten me again with legal action, I fucking over there, tie you up to your computer chair and sock up your arse with my cock until it bleeds.You fucker!In fact, if I ever had a book...
1.00000,0.97259,1, This is another personal attack about you being a huge donkey dick sucking homosexuality.This is a concerned plea that if you drown in a sewer in a moment you can.Fucking fuck off you fag!And if you threaten to me with legal action again, I'll fuck you over there, tie you to your computer chair and stick my cock up your arse until it bleeds out.You fucker!!
1.00000,0.78846,1, This is another personal attack on you being a massive donkey chucking homosexual.This is a concerned plea that you should drown in a sewer immediately.Fucking off fag fucking off!And if you threaten again with legal action, I'll fuck-up over there. I'll tie you to your computer chair. I’ll stick my chook up your arse until it bleeds.Du hast be heucher!.!
1.00000,0.79195,1, This is another personal attack on you being a massive donkey chucker homosexual.This is a worryful plea that you should drown yourself immediately in a sewer.Fucking off, you fag fucking off!And if you continue to threaten me with legal action, I'll fuck you down, tie you down your computer chair and stick my chook up your braces until it bleeds.Heucher!A!
1.00000,0.83887,1, This is another personal attack on you as a massive donkey-dick chucking homosexual.This is a concern that you should drown in a sewer immediately.Fanging off you fag fanging off!And if you threaten me again with legal action I will fuck over there, tie you to your computer chair and pound my chook on your arse until it bleeds up.Du heucher!!
1.00000,0.85682,1, This is another personal attack against being a massive Donkey Dick Chasing Homosexual.This is a worried plea that you should drown in a sewer immediately.Ficking Off fag fucking off!And if you threaten again with legal action I will fick up on it ; come here, tie you to your computer chair and stick my chook up your arse until it bleeds.Du Heucher!!
1.00000,0.79837,1, This is another personal attack on you as a massive donkey-dick chucking homosexual.This is a concerned plea that you should drown in a sewer immediately.Fangs off you fag fucking offAnd if you threaten me with legal action I will fuck you there, tie you to your computer chair and turn my chook up your arse until it bleeds out.Du heucher!!
1.00000,0.67354,1, This is another personal attack on you being a massive Donkey dick sucking homosexual.This is a concerned plea that you should drown in a sewer immediately.Fucking fag off you fag!Siddhartha will go to there if you want to threaten a legal action and loosen up your craw until it bleeds down.You hath a fucker!!
1.00000,0.69268,1, This is another personal attack about you being a huge Donkey dick sucking homosexuals.This is a plea concerned that you should drown immediately in a sewer line.Fucking fag off you fag!Siddhartha will come to you in case you want to threaten a legal action and loosen your cock until it bleeds down.A fucker!!
1.00000,0.60535,1, This is another personal attack about you being a massive donkey dick sucking homosexual.This is a concern that you should drown yourself in a sewer immediately.Fucking Fuck off your baby fag!Siddhartha will come over there in case you want to threaten to pay me and loosen up your craw until it bleeds down.You hath a furt!!
1.00000,0.66510,1, This is another personal attack on the fact that you are a massive donkey dick sucking homosexual.This is a concerned plea that you should immediately drown in a sewer.Fuck! Fuck off you fag!Siddhartha will come over there in case you want to threaten me with a legal action and loosen up your chin until it bleeds down.Foryou have a fucker!!
1.00000,0.66461,1, This is another personal assault at you being a massive donkey dick sucking homosexual.This is a concern-raising plea to drown immediately in a sewer.Fucking you fag!Siddhartha will come there in case you want to threaten me with a legal action and loosen your cock until it bleeds down.Mantiss a fucker!!
1.00000,0.91375,1, This is another personal attack about you as a massive donkey dick who is gay.This is a good plea that you should drown in a sewer immediately.Ficking out fag!If you threaten me again with legal action I will fuck you there, tie you up to your computer chair and stick my hoop in your back until it bleeds out.Rucker!!
1.00000,0.88808,1, This is another personal attack on you as a massive donkey dick that is a gay.This is a good plea that you should instantly drown yourself in a sewer.Fucking off the fog!If you threaten with legal action again, I will screw you here, tie you up to your computer chair and stick my hoop in your back until it bleeds.Rucker!   
1.00000,0.85883,1, This is another personal attack on you as a massive donkey dick who is gay.This is a good plea that you should drown in a sewer at once.Fifteens Fang off the fag!And if you threaten me with legal action again, I will kick you there, tie you to the computer chair and stick my hoop in your back until it bleeds.Rucker!We just want you to know I!
1.00000,0.90277,1, This is another personal attack about you as a giant donkey dick that is a gay man.This is a good plea that you should drown in a sewer at once.Ficking off of FAG!And if you threatened me again with legal action I will fuck you there, tie you to your computer chair and stick my hoop to your back until it bleeds.Rucker!- - - - - -  -
1.00000,0.86217,1, This is another personal attack on you as a big donkey dick that is a gay man.This is a good plea to drown yourself at the same time in a sewer line.Fucking Faga off the fag!But if you threaten me again with a legal action, I will fuck you over there, tie you to your computer chair and put my hoop in your back until it bleeds.Rucker!!
1.00000,0.92704,1, This is another personal attack on you as a massive donkey dick that squeaks homosexuality.This is a concerned plea that at once you should drown in a sewer line.Fuck off your fag with the FuckFuckIf you threaten me with legal action, I'll fuck down there, tie you down your computer chair and stick my chook up your arse until it bleeds.!!
1.00000,0.81311,1, This is another personal attack on you being a massive Donkey dick that squeaks homosexuality.This is a concerned plea that you should immediately drown in a water supply.Fuck your fag off with the FuckFuck!If you threaten me with legal action, I'll do something by coming down there, tie you in your computer chair and my chook up your arse until it bleeds up.You fucker!!
1.00000,0.91283,1, This is another personal attack on you being a massive donkey dick that squeaks homosexuality.This is a concern that you should drown in a sewer on the same day.Fuck off your fag with the FuckFuck!If you threaten me with legal action, I'll fuck you, tie you up to your computer chair and stuff you with my chook until it bleeds.Kuss!!
1.00000,0.90992,1, This is another personal attack about you being a massive donkey who squeaks homosexuality.This is a concerned plea that you should drown at once in a sewer.Fuck off your tail with the FuckFuck!If you threaten me with legal action, I will fuck him down there, tie you to your computer chair and stick my chook up your arse until it bleeds.You Fucker!!!
1.00000,0.91580,1, This is another personal attack on you being a massive donkey dick that squeaks homosexuality.This is a concerned plea that you should drown immediately in a sewer.Fuck with the FuckFuck and get off your fag!If you threaten me with legal action, I will just fuck you down there, tie you to your computer chair and set your arse up with my coiled helix until it bleeds out.You fucker!!
1.00000,0.95234,1, This is another personal attack of you being a gigantic donkey sucking homosexual.This is a concerned plea that you should drown in a sewer immediately.Ficking Fuck! Fuck off Fag!And if you threaten me with legal action again, I fucked it!, tie you to your computer chair and put my cock in your face until it bleeds.You fucker!!
1.00000,0.95499,1, This is another personal attack about you being a huge donkey who sucking homosexuals.This is a concerned plea that you should immediately drown in a sewer.Ficking Fuck! Fick off a fagAnd if you threaten again me with legal action I fucked it!, tie you to your computer chair and put my cock into your arse until it bleeds.Fucker!!
1.00000,0.94920,1, This is another personal attack about you being a huge donkey sucking homosexual.This is a concerned plea that you should immediately drown yourself in a sewerage system.Ficking Fuck! Fuck off a fag!And if you threaten me with legal action again, I will fuck it! A tie to your computer chair and put into your anoraks my cocks till it bleeds.Fucker!!
1.00000,0.90319,1, This is another personal attack about you being a huge donkey sucking homosexual.This is a concern that you should immediately drown yourself in a sewer.Ficking Fuck! Fick Off Fag!If you threatened to back me with legal action, I fucked it!, tie you to your computer chair and put my hive into your valet until it bleeds off.Voilà, you fucker!!
1.00000,0.87917,1, This is another personal attack about you being a huge donkey saking homosexual.This is a plea that you should immediately drown in a sewer.Ficking Fuck! Fick fag off!And if you threaten to me again with legal action, I fucked it! Tie you to your computer chair and put my hamster in your arse until it bleeds.You fucker!!
1.00000,0.93531,1, This is another real attack about being a massive donkey dick sucking homosexual.This is a concern that you should immediately drown yourself in a sewer.Fucking by the fag youAnd if you threaten me again with legal action, I 'll fuck out there, tie you to your computer pillow and stick your abrasion up my hammer until it bleeds.You fucker!!
1.00000,0.95885,1, This is another real attack about you being a massive donkey dick sucking homosexual.This is a concerned case that once should drown you in a sewer.Fucking fag off of you!And if you threaten me again with legal action, I will come to you, fix you up to your computer pillow and stick my cock up your arse until it bleeds.You fucker!!
1.00000,0.92917,1, This is another real attack about you being a huge donkey dick, sucking homosexual.This is a concerned case that you should drown in a sewer at once.Fuck fag off you!And if you threaten me with legal action again, I will fuck on there, tie you to your computer pillow and stick my cran on your arse until it bleeds.You were fucker!!
1.00000,0.91787,1, This is another real attack on you being a massive donkey dick sucking homosexual.This is a case of alarm that you should drown in a sewer at once.Fucking, fuck fag off you!And if you threaten me with legal action again, I will fuck him, tie you to your computer pillow and stick your cock to the arse until it bleeds.You fucker!!
1.00000,0.94383,1, This is another real attack about you being a huge donkey dick who sucking homosexual.This is a worrying case that you should drown yourself in a sewer immediately.Fucking fag fuck on you Fag!And if you threaten me again with legal action I will fuck you, tie you to your computer pillow and stick my hammer on your ear, until it bleeds.You fucker!!
1.00000,0.88810,1, This is another particular attack on you being a massive donkey dick sucker homosexual.This is a concern sentence that you should immediately drown in a sewage system.Fucking Fuck Off, fag off youUnd if you threaten me with legal action again, I fuck your adnee to come over here, tying you to your computer couch and stick my hammer on your arse until it bleeds.YOU TUCKER!!
1.00000,0.95380,1, This is another particular attack against you being a massive donkey dick sucking homosexual.It is a painful sentence, that you should drown in a sewer immediately.Fucking fag off!And if you threaten me with legal action again, I 'll get you in fucking, tie you up to your computer couch and stick my cock up your arse until it bleeds.You fucker!!
1.00000,0.88443,1, This is another particular attack, about you being a massive donkey dick.This is a worried sentence that you should drown in a sewer at once.Fucking off fag off you!And if you threaten me with legal action again, I will fuck you here, tie you to your computer couch and strap my cock up your arse until it bleeds.This - that you fucker!!
1.00000,0.90446,1, This is another particular attack on you being a huge donkey dick sucking homosexual.This is a concerned sentence that you should drown in a sewer immediately.Fucking fag off sag!And if you threaten me with legal action again, I 'll fuck over there, tie you to your computer couch and stick my pig up your arse until it bleeds.You fucker!!
1.00000,0.88812,1, This is another special attack against you being a massive donkey dick sucking homosexual.This is a disturbing sentence that should immediately drown you in a sewer.Fucking Fuck - Freed-again!And if you threaten me with legal action again, I 'll get you there, tie you to your computer couch and stick my cock up your arse.You fucker!!
1.00000,0.94246,1, This is another sexual attack about your being a massive donkey dick that gay.This is a concerned confession that you should drown in a sewer immediately.Fucking off fag!And if you threatened me with legal action again, I'll Fuck there, tie you to your computer - towel and stick my knuckle up your ear until it bleeds.You fucker!!
1.00000,0.95823,1, This is another sexual attack about you being a massive Donkey - Dick's sucking homosexual.This is a concerned confession that you should drown yourself in a sewer immediately.Fucking Fuck off you, fag!And if you threaten me again with legal action, I 'll come, tie you to your computer towel and go my naughty crane up your arse until it bleeds.You fucker!!
1.00000,0.94680,1, This is another sexual attack about you being a big donkey dick sucking homosexual.This is a concerned confession that you should drown yourself in a sewer immediately.Fucking off the FAG!And if you threaten me with legal action again, I will take you there, attach your computer towel and stick my hammer on your arse until it bleeds.Lucker!!
1.00000,0.93997,1, This is another sexual attack on you as a massive donkey dick - homosexual.This is a bewildering confession that you should drown yourself in a sewer immediately.Fucking fag off of you!And if you threaten me with legal action again, I will fuck you there, tie you to your computer towel and stick my sleeve up your arse until it bleeds.You fucker!!
1.00000,0.85742,1, This is another sexual attack about you being a massive donkey dick sucking homosexual.This is a disturbing confession that you should drown in a sewer at once.The Fuck Fang by Youfag!And if you threatened me again with legal action, I will fuck you there, tie you up to your computer towel and stick my cocks to the back, until it bleeds.You fucker!!
1.00000,0.90144,1, This is another genuine attack about being a massive donkey dick sucking homosexual.This is a concerned conviction that you should immediately drown yourself in a canal.Fucking fag from you!If you threaten me with legal action again I 'll fuck you over there, tie you to your computer sofa and stick your chin on, until it bleeds.You fucker!!
1.00000,0.95737,1, This is another genuine attack about you being a huge donkey dick sucking homosexual.This is a concerned conviction that you should drown in a sewer immediately.Fucking fuck off your fag!And if you threaten again me with legal action, I will fuck you to the computer sofa and stick my cock up your arse until it bleeds.Your fucker!!
1.00000,0.90464,1, This is another genuine attack on you being a huge donkey dick sucking homosexual.This is a worried conviction that you should drown in a sewer on a whim.Fuck on a fag, fag!If you threaten with me with legal action again, I'll fuck you, tie you to your computer sofa, and lock my crank on your ipad until it bleeds.You are a Fucker!!
1.00000,0.90208,1, This is another genuine attack on you being a massive donkey dick sucking homosexual.This is a worrying belief that one should drown in a sewer at once.Fuck Fuck fuck off you fag!And if you threaten me again with legal action I 'll fuck over there, tie you to your computer sofa and stick your chin up until it bleeds.Uk... you fucker!!!
1.00000,0.88993,1, This is another real attack at you being a massive donkey dick sucking homosexual.This is a worrysome conviction that you should drown in a sewer at once.Fucking off is Fuck!And if you threaten me with another lawsuit I 'll come there and tuck you to your computer sofa and stick my cinch up your arse until it bleeds.You fucker!!
1.00000,0.93715,1, This is another personal attack about you being a massive donkey dick sucking gay .This is a concerned plea that you should at once kill yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal move again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.92637,1, This is another personal attack about you being a massive donkey dick sucking lesbian .This is a concerned plea that you should at once sink yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal act again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.93355,1, This is another personal attack about you being a massive donkey dick sucking heterosexual .This is a concerned plea that you should at once submerge yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal case again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.88882,1, This is another personal attack about you being a massive donkey dick sucking sexual .This is a concerned plea that you should at once suffocate yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal change again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.88942,1, This is another personal attack about you being a massive donkey dick sucking carnal .This is a concerned plea that you should at once swamp yourself in a sewer .Fucking fuck off you fag!And if you threaten me with legal step again , I ' ll fucking come over there , tie you to your computer chair and stick my cock up your arse until it bleeds .You fucker!!
1.00000,0.83010,1, This is another personal attack on you being a massive donkey - dick chucking gay .This is a worried plea that you should drown yourself at once in a sewer .Fucking off you fag fucking off!And if you threaten again to me with legal move I ' ll fuck - come over there , tie you to your computer chair and stick my chook up your arse until it bleeds .Du heucher!!
1.00000,0.85009,1, This is another personal attack on you being a massive donkey - dick chucking heterosexual .This is a fearful plea that you should drown yourself at once in a sewer .Fucking off you fag fucking off!And if you threaten again to me with legal act I ' ll fuck - come over there , tie you to your computer chair and stick my chook up your arse until it bleeds .Du heucher!!
1.00000,0.85463,1, This is another personal attack on you being a massive donkey - dick chucking homosexuality .This is a alarmed plea that you should drown yourself at once in a sewer .Fucking off you fag fucking off!And if you threaten again to me with legal case I ' ll fuck - come over there , tie you to your computer chair and stick my chook up your arse until it bleeds .Du heucher!!
1.00000,0.75697,1, This is another personal attack on you being a massive donkey - dick chucking lesbian .This is a afraid plea that you should drown yourself at once in a sewer .Fucking off you fag fucking off!And if you threaten again to me with legal change I ' ll fuck - come over there , tie you to your computer chair and stick my chook up your arse until it bleeds .Du heucher!!
1.00000,0.80829,1, This is another personal attack on you being a massive donkey - dick chucking bisexual .This is a aware plea that you should drown yourself at once in a sewer .Fucking off you fag fucking off!And if you threaten again to me with legal sanction I ' ll fuck - come over there , tie you to your computer chair and stick my chook up your arse until it bleeds .Du heucher!!
1.00000,0.61714,1, This is another personal attack about you being a massive donkey pelosi sucking homosexual .This is a worried plea that you should drown yourself in a sewer immediately .Fucking fuck off you fag!Siddhartha will go over there in case you want to threaten me a legal action and loosen your cock until it bleeds down .You hath a fucker!!
1.00000,0.69070,1, This is another personal attack about you being a massive donkey ralph sucking homosexual .This is a alarmed plea that you should drown yourself in a sewer immediately .Fucking fuck off you fag!Siddhartha will get over there in case you want to threaten me a legal action and loosen your cock until it bleeds down .You hath a fucker!!
1.00000,0.70525,1, This is another personal attack about you being a massive donkey ricky sucking homosexual .This is a fearful plea that you should drown yourself in a sewer immediately .Fucking fuck off you fag!Siddhartha will happen over there in case you want to threaten me a legal action and loosen your cock until it bleeds down .You hath a fucker!!
1.00000,0.68088,1, This is another personal attack about you being a massive donkey larry sucking homosexual .This is a afraid plea that you should drown yourself in a sewer immediately .Fucking fuck off you fag!Siddhartha will bring over there in case you want to threaten me a legal action and loosen your cock until it bleeds down .You hath a fucker!!
1.00000,0.65740,1, This is another personal attack about you being a massive donkey dave sucking homosexual .This is a aware plea that you should drown yourself in a sewer immediately .Fucking fuck off you fag!Siddhartha will turn over there in case you want to threaten me a legal action and loosen your cock until it bleeds down .You hath a fucker!!
